aX,aY,aZ,gX,gY,gZ
0.332,0.155,-1.954,-158.936,-84.412,-57.861
0.450,0.208,-1.455,-165.161,-153.809,-61.401
0.533,0.162,-0.890,-150.879,-206.970,-71.167
0.416,-0.004,-0.701,-112.610,-234.253,-84.961
0.211,-0.382,-1.047,-74.829,-244.019,-101.929
-0.058,-0.970,-1.169,-56.885,-267.090,-106.384
-0.058,-1.626,-0.836,-46.875,-308.716,-83.984
0.048,-1.558,0.085,-22.644,-360.718,-28.320
0.110,-1.708,0.593,-1.831,-381.042,10.864
0.153,-1.800,0.824,-2.197,-361.084,44.312
0.114,-1.753,1.085,-15.503,-331.665,84.778
0.096,-1.385,1.288,-33.997,-303.406,118.164
0.129,-1.381,1.387,-47.729,-278.137,137.268
0.228,-0.788,1.816,-53.162,-254.578,176.086
0.265,-0.426,2.242,-29.236,-233.582,202.148
0.224,-0.567,1.704,-4.883,-183.899,190.613
0.257,-0.319,1.864,-4.883,-164.001,199.036
0.290,-0.478,2.265,-13.245,-147.583,200.256
0.233,-0.640,2.151,-28.503,-103.088,205.261
0.189,-0.762,1.910,-42.908,-57.922,219.666
0.043,-0.958,1.687,-50.598,-30.151,239.136
-0.075,-0.950,1.723,-54.382,-12.146,270.935
-0.122,-0.476,1.888,-52.063,6.470,308.899
-0.156,-0.054,1.879,-40.283,29.907,332.092
-0.130,0.367,1.912,-24.231,55.603,342.712
0.019,1.006,2.092,-15.991,79.285,346.069
0.245,1.688,2.144,-20.569,110.107,336.548
0.399,1.863,2.113,-30.701,150.757,302.734
0.450,1.685,2.040,-49.316,193.237,258.179
0.354,1.416,1.685,-79.468,246.277,224.976
0.245,1.073,1.351,-116.577,289.795,204.102
0.166,0.951,1.182,-149.292,319.824,197.632
0.083,0.865,0.830,-172.485,348.022,196.289
0.034,0.910,0.498,-181.274,364.746,195.068
0.024,1.066,0.277,-185.425,370.667,192.200
0.066,1.277,0.111,-187.866,369.812,182.922
0.130,1.523,0.090,-189.392,360.779,167.725
0.203,1.810,0.285,-197.083,349.792,147.522
0.206,2.063,0.353,-208.252,356.689,118.835
0.111,2.243,0.236,-212.341,374.573,74.219
-0.019,2.223,-0.245,-208.923,394.958,15.686
-0.157,1.829,-0.607,-199.829,395.630,-42.786
-0.219,1.517,-0.688,-185.974,370.605,-84.351
-0.234,1.335,-0.736,-170.837,343.750,-111.023
-0.200,1.269,-0.918,-167.175,318.542,-127.869
-0.141,1.310,-1.025,-175.354,287.476,-138.428
-0.104,1.366,-1.021,-185.242,251.953,-152.283
-0.039,1.473,-0.816,-195.801,219.788,-171.936
-0.021,1.551,-0.805,-203.674,200.378,-196.228
-0.113,1.519,-1.068,-198.486,192.993,-229.614
-0.204,1.272,-1.329,-202.637,179.749,-264.832
-0.207,0.981,-1.371,-225.403,155.823,-289.795
-0.201,0.700,-1.178,-248.108,117.615,-298.035
-0.145,0.298,-1.116,-249.390,85.815,-297.241
-0.149,0.130,-1.084,-225.647,55.359,-288.391
-0.125,-0.003,-1.219,-186.707,28.381,-286.194
-0.115,-0.086,-1.316,-156.189,6.348,-283.386
-0.126,-0.426,-1.320,-137.939,-17.151,-284.851
-0.084,-0.710,-1.284,-126.831,-37.659,-275.879
-0.016,-0.576,-1.056,-121.094,-58.350,-252.502
0.023,-0.618,-0.907,-117.554,-66.589,-238.525
0.135,-0.828,-0.772,-108.276,-72.205,-229.187
0.153,-0.926,-0.760,-89.294,-72.693,-214.294
0.165,-0.767,-0.887,-67.200,-74.097,-195.251
0.147,-0.798,-0.980,-59.326,-81.116,-184.692
0.215,-1.022,-1.108,-57.617,-91.003,-174.927
0.134,-1.034,-1.170,-53.467,-109.558,-152.100
0.150,-0.754,-1.090,-52.673,-132.019,-122.864
0.182,-0.662,-0.907,-52.185,-155.945,-110.962
0.169,-0.662,-0.838,-51.819,-168.396,-109.314
0.182,-0.558,-0.717,-49.500,-177.734,-107.178
0.180,-0.589,-0.753,-46.936,-180.237,-106.018
0.199,-0.729,-0.621,-44.556,-190.186,-106.384
0.220,-0.733,-0.543,-40.955,-197.327,-100.037
0.229,-0.818,-0.616,-33.691,-194.763,-94.421
0.147,-0.784,-0.974,-32.471,-196.655,-86.121
0.146,-1.141,-0.959,-34.546,-219.299,-82.581
0.125,-1.260,-0.839,-39.429,-240.967,-67.749
0.172,-1.199,-0.712,-38.818,-257.141,-40.649
0.182,-0.947,-0.525,-35.217,-272.766,-18.372
0.197,-1.034,-0.504,-29.358,-275.757,-10.498
0.204,-1.280,-0.476,-18.799,-281.372,-10.132
0.245,-1.349,-0.132,-12.756,-295.959,4.944
0.256,-1.107,0.052,2.197,-299.744,27.771
0.215,-1.126,0.053,23.926,-295.532,37.720
0.189,-1.639,-0.013,36.682,-291.992,39.490
0.187,-1.881,0.127,41.870,-296.631,64.941
0.217,-1.800,0.409,49.561,-298.828,106.262
0.244,-1.727,0.683,57.251,-289.734,138.184
0.256,-1.577,0.927,60.669,-268.982,163.208
0.216,-1.340,0.991,59.570,-241.638,187.988
0.177,-1.154,0.972,56.213,-216.431,209.412
0.150,-1.163,0.994,48.950,-194.763,227.417
0.140,-1.099,1.040,32.471,-174.500,250.610
0.168,-0.833,1.197,8.606,-156.433,278.198
0.289,-0.273,1.521,-19.043,-135.376,300.415
0.445,0.462,1.685,-50.232,-103.333,308.594
0.590,0.812,1.601,-70.007,-60.242,291.138
0.773,0.845,1.606,-77.332,-27.039,257.812
0.934,0.975,1.624,-71.899,-2.014,228.760
0.987,0.834,1.607,-59.509,25.818,194.031
0.934,0.329,1.376,-46.936,55.542,157.593
0.912,0.064,1.162,-42.297,80.383,142.883
0.925,0.157,1.054,-42.969,97.290,146.240
0.899,0.257,0.865,-45.288,114.319,147.095
0.874,0.326,0.677,-49.500,127.686,141.541
0.871,0.624,0.469,-59.082,137.024,136.780
0.859,0.932,0.221,-67.627,142.090,126.892
0.880,1.144,0.002,-70.435,138.855,105.103
0.881,1.293,-0.249,-69.519,127.441,75.867
0.859,1.162,-0.502,-66.040,110.107,42.175
0.854,0.875,-0.535,-59.448,83.923,13.855
0.879,0.617,-0.418,-48.462,51.636,-1.038
0.932,0.429,-0.241,-32.715,23.010,-7.141
0.971,0.279,-0.086,-16.846,5.188,-9.583
0.979,0.202,-0.064,-4.578,1.526,-8.606
0.968,0.193,-0.117,4.517,4.089,-6.042
0.957,0.236,-0.116,9.888,3.479,-3.296
0.956,0.287,-0.033,10.742,1.953,-1.404

0.008,1.917,1.126,-59.265,241.394,379.456
0.045,2.380,0.997,-77.148,277.893,354.492
0.032,2.563,0.682,-81.116,314.636,310.242
-0.027,2.516,0.216,-80.261,349.243,257.446
-0.092,2.596,-0.252,-77.454,362.183,208.191
