aX,aY,aZ,gX,gY,gZ
1.244,1.478,-0.115,15.686,-128.906,-82.947
1.262,1.755,-0.168,21.057,-130.432,-120.728
1.166,1.799,-0.305,23.132,-133.240,-166.382
0.938,1.789,-0.358,33.997,-150.269,-209.229
0.715,1.378,-0.131,45.166,-177.307,-258.728
0.516,0.568,0.590,44.373,-201.172,-303.162
0.568,0.051,1.538,23.865,-193.481,-311.218
0.688,-0.147,2.352,-6.531,-145.813,-294.678
0.747,-0.157,2.766,-36.682,-68.237,-273.621
0.683,-0.307,2.841,-67.993,20.691,-259.888
0.606,-0.646,2.766,-97.229,98.572,-252.869
0.492,-1.016,2.649,-114.868,153.503,-241.882
0.367,-1.407,2.573,-125.854,197.815,-224.548
0.289,-1.629,2.476,-130.371,233.826,-196.777
0.181,-1.699,2.229,-124.146,274.414,-163.391
0.020,-1.782,1.862,-112.976,307.983,-134.521
-0.062,-1.839,1.440,-98.755,333.984,-109.253
-0.106,-1.783,1.079,-76.660,344.910,-83.496
-0.115,-1.674,0.798,-45.410,341.431,-60.181
-0.104,-1.538,0.653,-12.085,331.238,-41.748
-0.142,-1.432,0.420,15.991,325.867,-25.513
-0.122,-1.373,0.239,32.043,318.909,-12.207
-0.086,-1.292,0.170,44.800,305.664,1.099
-0.033,-1.212,0.146,57.068,291.870,14.038
-0.021,-1.115,0.096,70.679,283.081,27.649
0.049,-0.992,0.091,71.350,274.292,40.649
0.057,-0.960,0.120,65.674,271.118,50.476
-0.011,-1.092,-0.071,71.655,279.053,60.486
-0.054,-1.164,-0.243,74.463,282.166,80.505
-0.054,-0.998,-0.287,69.641,279.236,110.107
-0.058,-0.904,-0.299,68.420,276.428,133.301
-0.021,-0.813,-0.255,72.144,277.161,148.010
-0.262,-1.017,-0.515,84.900,287.354,157.043
-0.325,-1.143,-0.829,83.374,295.288,174.561
-0.370,-0.990,-0.965,77.209,288.635,204.041
-0.374,-0.888,-1.037,71.106,278.625,225.281
-0.402,-0.810,-1.070,81.787,261.719,237.549
-0.418,-0.541,-1.198,88.318,248.108,251.282
-0.441,-0.303,-1.411,93.567,232.727,258.850
-0.408,-0.114,-1.553,103.394,208.679,257.629
-0.372,0.078,-1.614,112.000,178.040,251.282
-0.307,0.196,-1.679,126.282,147.278,238.098
-0.244,0.308,-1.636,146.118,114.502,221.924
-0.188,0.437,-1.635,166.077,82.275,205.994
-0.197,0.518,-1.740,184.998,54.443,187.195
-0.192,0.395,-1.805,206.299,26.978,163.879
-0.235,0.297,-1.981,216.492,2.686,150.574
-0.292,0.257,-2.134,203.430,-23.987,152.283
-0.266,0.527,-2.172,169.128,-59.753,165.771
-0.220,0.882,-2.210,140.991,-97.839,172.852
-0.167,1.049,-2.090,131.165,-140.564,157.532
-0.094,1.052,-1.825,148.743,-185.730,127.197
0.006,1.004,-1.478,177.002,-225.586,96.069
0.116,1.273,-1.182,198.303,-252.991,71.655
0.169,1.432,-1.093,223.145,-267.090,35.583
0.208,1.298,-1.081,233.276,-274.963,-8.179
0.238,1.237,-1.109,221.619,-283.020,-38.147
0.062,1.253,-1.450,208.069,-292.725,-55.908
0.094,1.408,-1.142,204.529,-329.590,-80.139
0.245,1.682,-0.506,184.387,-359.375,-103.821
0.414,2.012,-0.005,180.115,-364.807,-136.719
0.506,1.963,0.323,198.242,-355.286,-187.134
0.339,1.494,0.132,215.271,-329.346,-240.845
0.165,0.618,-0.024,239.563,-314.819,-284.119
0.196,0.059,0.311,237.244,-317.139,-298.767
0.323,-0.265,0.677,206.909,-301.941,-284.912
0.455,-0.457,0.995,176.941,-277.283,-256.042
0.637,-0.509,1.445,155.029,-249.451,-223.999
0.816,-0.285,1.736,136.353,-205.872,-193.542
0.890,-0.161,1.659,126.404,-154.053,-176.147
0.860,-0.277,1.386,132.751,-111.755,-173.279
0.815,-0.560,1.133,133.789,-83.679,-169.189
0.804,-0.739,1.021,121.094,-66.101,-154.419
0.811,-0.790,0.982,101.624,-52.551,-131.165
0.818,-0.763,0.906,75.134,-36.987,-105.530
0.817,-0.686,0.744,43.274,-18.311,-80.994
0.832,-0.590,0.637,14.465,-5.859,-59.143
0.891,-0.445,0.743,-5.188,-2.197,-40.466
0.933,-0.327,0.759,-14.587,4.211,-28.931
0.932,-0.297,0.621,-15.869,12.390,-24.109
0.932,-0.251,0.518,-15.320,15.076,-20.264
0.935,-0.225,0.474,-14.343,18.250,-16.724
0.940,-0.202,0.410,-11.658,17.517,-14.160
0.940,-0.215,0.368,-9.460,16.907,-12.085
0.944,-0.192,0.351,-6.958,18.066,-9.033
0.957,-0.105,0.361,-3.296,14.221,-5.859
0.961,-0.076,0.339,0.610,13.489,-5.554
0.957,-0.037,0.280,1.038,17.212,-5.249
0.962,-0.015,0.300,1.404,13.916,-5.432
0.967,-0.042,0.348,1.160,10.620,-6.470
0.961,-0.079,0.315,-0.305,13.123,-5.981
0.963,-0.107,0.331,-3.296,13.062,-4.456
0.966,-0.102,0.332,-7.141,16.052,-2.319
0.960,-0.062,0.298,-10.559,20.447,-0.244
0.961,-0.066,0.267,-11.169,19.653,0.916
0.952,-0.065,0.261,-11.353,17.639,1.282
0.944,-0.046,0.222,-10.864,18.555,2.136
0.937,-0.056,0.168,-8.911,19.714,1.892
0.929,-0.064,0.181,-7.812,14.832,2.075
0.928,-0.050,0.185,-7.141,9.399,3.418
0.938,-0.007,0.221,-7.202,9.949,4.028
0.939,0.009,0.190,-5.798,9.277,3.784
0.932,-0.019,0.169,-5.249,10.193,3.052
0.947,-0.007,0.189,-6.836,8.850,3.540
0.949,0.013,0.206,-7.446,7.568,3.967
0.946,0.026,0.152,-5.859,9.033,2.930
0.937,-0.004,0.123,-4.211,8.179,1.587
0.944,-0.001,0.172,-3.235,3.540,1.770
0.949,0.017,0.187,-1.221,1.831,2.258
0.954,0.011,0.181,0.488,0.549,1.709
0.952,0.007,0.209,1.709,-1.160,1.160
0.961,0.011,0.229,2.075,-1.465,0.977
0.964,0.035,0.224,1.709,0.610,1.648
0.964,0.051,0.209,-0.183,0.061,1.648
0.963,0.069,0.188,-2.502,0.793,1.526
0.958,0.048,0.190,-4.761,1.404,0.366
0.961,0.025,0.195,-4.333,-0.854,-0.610
0.965,0.004,0.199,-4.700,-0.977,-1.160
0.965,0.007,0.190,-5.310,-1.892,-1.038

1.083,1.239,-0.305,7.629,-66.162,-35.339
1.068,1.206,-0.194,30.640,-82.581,-65.308
1.007,1.069,-0.133,53.284,-95.276,-97.046
0.986,1.183,-0.088,67.200,-105.225,-123.169
0.881,1.568,-0.266,80.688,-120.300,-155.212
0.889,1.322,0.434,80.261,-150.085,-204.224
0.823,1.382,0.765,88.501,-159.546,-241.882
0.753,1.487,0.865,80.811,-146.423,-270.325
0.552,1.162,1.082,68.848,-134.216,-306.885
0.478,0.477,1.829,54.443,-125.854,-350.525
0.409,-0.044,2.244,30.334,-78.613,-359.558
0.350,-0.455,2.242,20.020,-13.306,-355.896
0.261,-1.017,2.264,22.644,35.828,-347.839
0.184,-1.363,2.244,14.465,78.796,-320.862
0.202,-1.634,2.388,-2.380,112.366,-290.039
0.111,-1.732,2.698,-18.372,145.996,-261.963
0.009,-2.029,2.508,-35.095,199.829,-234.497
-0.043,-2.086,2.413,-55.786,245.239,-188.538
-0.087,-2.154,2.336,-70.435,282.593,-145.569
-0.180,-2.091,2.240,-69.397,320.312,-109.253
-0.276,-1.862,1.970,-56.641,358.887,-72.083
-0.398,-1.714,1.634,-47.241,388.306,-47.729
