aX,aY,aZ,gX,gY,gZ
0.485,0.333,2.303,-33.081,-118.103,24.414
0.182,0.293,1.971,-19.653,-88.806,16.357
0.272,0.265,2.323,-19.958,-75.012,9.277
0.257,0.319,2.386,-15.747,-53.589,6.653
0.241,0.299,2.403,-7.935,-25.391,0.977
0.280,0.304,2.681,-0.488,-6.714,-2.197
0.306,0.566,2.656,8.240,18.677,-3.662
0.235,0.139,2.789,25.940,50.110,-19.470
0.222,0.169,2.624,31.921,89.844,-19.409
0.222,0.225,2.365,30.334,129.639,-16.235
0.233,0.237,2.169,30.212,164.612,-18.250
0.223,0.204,2.000,32.227,190.308,-20.508
0.218,0.137,1.804,31.799,217.407,-21.912
0.199,0.181,1.672,28.259,238.647,-20.325
0.218,0.123,1.440,22.400,265.198,-20.752
0.206,0.093,1.111,20.203,282.532,-21.484
0.219,0.056,0.913,26.245,286.499,-21.667
0.260,0.070,0.930,31.555,280.945,-19.531
0.322,0.144,0.858,31.189,280.823,-16.663
0.329,0.178,0.599,32.532,285.461,-17.395
0.324,0.143,0.361,33.997,284.546,-22.339
0.351,0.112,0.272,32.349,276.245,-26.184
0.373,0.012,0.203,27.222,267.273,-28.320
0.407,-0.006,0.147,23.254,260.986,-26.550
0.452,0.020,0.063,20.752,254.883,-23.682
0.500,0.023,-0.010,15.320,251.282,-23.682
0.532,0.014,-0.067,9.644,247.620,-24.902
0.522,-0.001,-0.229,5.676,245.056,-26.367
0.508,-0.094,-0.441,4.700,237.610,-28.931
0.526,-0.200,-0.557,2.625,219.604,-27.466
0.565,-0.222,-0.591,-0.549,195.557,-19.958
0.598,-0.203,-0.650,-2.258,172.852,-11.353
0.641,-0.181,-0.662,-5.371,150.940,-4.822
0.682,-0.150,-0.630,-8.789,129.761,-0.610
0.728,-0.114,-0.627,-12.695,112.854,2.747
0.765,-0.069,-0.598,-15.503,97.107,4.700
0.801,-0.018,-0.585,-15.320,83.008,4.333
0.813,0.006,-0.632,-14.099,71.350,2.258
0.841,0.006,-0.647,-12.085,56.458,-0.854
0.875,0.023,-0.560,-10.864,39.429,-2.502
0.901,0.031,-0.418,-9.094,25.574,-4.639
0.904,0.017,-0.334,-7.446,17.517,-7.751
0.893,-0.033,-0.339,-4.700,14.221,-10.925
0.885,-0.125,-0.294,-1.465,8.789,-13.062
